Posting Date;Plant;Material;Quantity
08/07/2024;loc01;10010101;143,000
08/07/2024;loc02;10010101;199,300
08/07/2024;loc02;10010101;0,400
08/07/2024;loc03;10010101;1.035,800
08/07/2024;loc03;10010101;1.077,900
08/07/2024;loc04;10010101;159,000
08/07/2024;loc04;10010101;20,000
08/07/2024;loc04;10010101;81,400
08/07/2024;loc05;10010101;649,400
08/07/2024;loc05;10010101;234,100
08/07/2024;loc06;10010101;258,000
08/07/2024;loc07;10010101;17,200
08/07/2024;loc07;10010101;30,800
08/07/2024;loc08;10010101;263,200
08/07/2024;loc08;10010101;246,500
08/07/2024;loc09;10010101;629,600
08/07/2024;loc09;10010101;822,600
08/07/2024;loc10;10010101;2,000
08/07/2024;loc10;10010101;2.073,700
08/07/2024;loc11;10010101;118,200
08/07/2024;loc11;10010101;515,300
08/07/2024;loc12;10010101;1.912,300
08/07/2024;loc13;10010101;387,100
08/07/2024;loc14;10010101;77,600
08/07/2024;loc15;10010101;40,000
08/07/2024;loc15;10010101;90,400
08/07/2024;loc16;10010101;764,400
08/07/2024;loc16;10010101;90,000
08/07/2024;loc17;10010101;440,000
08/07/2024;loc17;10010101;582,300
08/07/2024;loc17;10010101;390,000
08/07/2024;loc18;10010101;336,300
08/07/2024;loc19;10010101;442,100
08/07/2024;loc20;10010101;690,000
08/07/2024;loc20;10010101;1.005,200
08/07/2024;loc20;10010101;3,900
08/07/2024;loc20;10010101;20,000
08/07/2024;loc20;10010101;820,500
08/07/2024;loc20;10010101;892,500
08/07/2024;loc21;10010101;1.028,300
08/07/2024;loc22;10010101;52,400
08/07/2024;loc22;10010101;588,600
08/07/2024;loc23;10010101;228,100
08/07/2024;loc24;10010101;773,600
08/07/2024;loc25;10010101;9,000
08/07/2024;loc25;10010101;42,200
08/07/2024;loc26;10010101;461,200
08/07/2024;loc27;10010101;36.910,000
08/07/2024;loc27;10010101;-140,000
08/07/2024;loc28;10010101;140,000
08/07/2024;loc28;10010101;720,400
09/07/2024;loc01;10010101;122,200
09/07/2024;loc02;10010101;49,000
09/07/2024;loc02;10010101;2.420,000
09/07/2024;loc02;10010101;43,900
09/07/2024;loc02;10010101;860,000
09/07/2024;loc03;10010101;686,800
09/07/2024;loc03;10010101;794,600
09/07/2024;loc29;10010101;99,500
09/07/2024;loc04;10010101;17,000
09/07/2024;loc04;10010101;140,000
09/07/2024;loc06;10010101;564,000
09/07/2024;loc07;10010101;189,700
09/07/2024;loc08;10010101;180,300
09/07/2024;loc08;10010101;115,300
09/07/2024;loc30;10010101;4.506,000
09/07/2024;loc09;10010101;1.095,800
09/07/2024;loc09;10010101;7,400
09/07/2024;loc10;10010101;2.970,900
09/07/2024;loc11;10010101;240,900
09/07/2024;loc12;10010101;1.231,000
09/07/2024;loc13;10010101;273,900
09/07/2024;loc13;10010101;262,500
09/07/2024;loc14;10010101;132,900
09/07/2024;loc15;10010101;213,200
09/07/2024;loc31;10010101;105,600
09/07/2024;loc16;10010101;588,000
09/07/2024;loc16;10010101;90,000
09/07/2024;loc17;10010101;557,600
09/07/2024;loc17;10010101;520,000
09/07/2024;loc18;10010101;317,600
09/07/2024;loc19;10010101;823,200
09/07/2024;loc32;10010101;838,000
09/07/2024;loc32;10010101;813,000
09/07/2024;loc32;10010101;10,000
09/07/2024;loc32;10010101;911,600
09/07/2024;loc32;10010101;900,900
09/07/2024;loc32;10010101;659,400
09/07/2024;loc32;10010101;1.220,400
09/07/2024;loc32;10010101;756,600
09/07/2024;loc32;10010101;787,700
09/07/2024;loc32;10010101;848,500
09/07/2024;loc32;10010101;810,300
09/07/2024;loc32;10010101;1.159,700
09/07/2024;loc20;10010101;2.926,000
09/07/2024;loc20;10010101;1.893,800
09/07/2024;loc20;10010101;400,000
09/07/2024;loc20;10010101;20,000
09/07/2024;loc21;10010101;250,000
09/07/2024;loc21;10010101;1.268,900
09/07/2024;loc22;10010101;430,000
09/07/2024;loc22;10010101;466,900
09/07/2024;loc23;10010101;255,600
09/07/2024;loc33;10010101;1.011,000
09/07/2024;loc33;10010101;1.022,500
09/07/2024;loc33;10010101;1.330,000
09/07/2024;loc24;10010101;260,800
09/07/2024;loc27;10010101;-850,000
09/07/2024;loc27;10010101;500,000
09/07/2024;loc27;10010101;19.900,000
10/07/2024;loc01;10010101;251,800
10/07/2024;loc02;10010101;262,300
10/07/2024;loc02;10010101;45,400
10/07/2024;loc03;10010101;873,100
10/07/2024;loc03;10010101;767,200
10/07/2024;loc29;10010101;175,800
10/07/2024;loc04;10010101;196,000
10/07/2024;loc05;10010101;985,800
10/07/2024;loc06;10010101;344,400
10/07/2024;loc07;10010101;12,400
10/07/2024;loc07;10010101;5,200
10/07/2024;loc07;10010101;798,200
10/07/2024;loc08;10010101;259,400
10/07/2024;loc08;10010101;309,100
10/07/2024;loc30;10010101;4.379,700
10/07/2024;loc30;10010101;-1,300
10/07/2024;loc09;10010101;6,000
10/07/2024;loc09;10010101;1.346,200
10/07/2024;loc11;10010101;256,300
10/07/2024;loc12;10010101;1.236,100
10/07/2024;loc13;10010101;262,300
10/07/2024;loc13;10010101;236,200
10/07/2024;loc14;10010101;197,600
10/07/2024;loc15;10010101;167,000
10/07/2024;loc31;10010101;284,300
10/07/2024;loc16;10010101;572,100
10/07/2024;loc16;10010101;1.050,000
10/07/2024;loc17;10010101;1.460,000
10/07/2024;loc17;10010101;1.092,700
10/07/2024;loc18;10010101;307,500
10/07/2024;loc19;10010101;-6,400
10/07/2024;loc19;10010101;602,100
10/07/2024;loc19;10010101;446,100
10/07/2024;loc32;10010101;828,600
10/07/2024;loc32;10010101;1.055,500
10/07/2024;loc32;10010101;943,900
10/07/2024;loc32;10010101;783,300
10/07/2024;loc32;10010101;762,600
10/07/2024;loc20;10010101;468,700
10/07/2024;loc20;10010101;627,700
10/07/2024;loc20;10010101;6,400
10/07/2024;loc20;10010101;286,000
10/07/2024;loc20;10010101;766,800
10/07/2024;loc20;10010101;975,800
10/07/2024;loc21;10010101;0,200
10/07/2024;loc21;10010101;722,400
10/07/2024;loc22;10010101;10,000
10/07/2024;loc22;10010101;336,900
10/07/2024;loc23;10010101;230,500
10/07/2024;loc33;10010101;660,000
10/07/2024;loc33;10010101;1.196,800
10/07/2024;loc24;10010101;606,000
10/07/2024;loc25;10010101;275,200
10/07/2024;loc26;10010101;390,400
10/07/2024;loc27;10010101;22.670,000
10/07/2024;loc28;10010101;6,400
11/07/2024;loc01;10010101;131,700
11/07/2024;loc02;10010101;2.330,200
11/07/2024;loc02;10010101;87,000
11/07/2024;loc03;10010101;976,400
11/07/2024;loc03;10010101;865,500
11/07/2024;loc29;10010101;139,700
11/07/2024;loc29;10010101;2,000
11/07/2024;loc04;10010101;294,000
11/07/2024;loc05;10010101;1.133,400
11/07/2024;loc06;10010101;146,600
11/07/2024;loc06;10010101;644,200
11/07/2024;loc07;10010101;30,200
11/07/2024;loc07;10010101;383,400
11/07/2024;loc08;10010101;373,100
11/07/2024;loc08;10010101;253,900
11/07/2024;loc30;10010101;2.737,700
11/07/2024;loc30;10010101;-1,300
11/07/2024;loc09;10010101;1.729,200
11/07/2024;loc09;10010101;57,200
11/07/2024;loc10;10010101;0,400
11/07/2024;loc10;10010101;2.142,700
11/07/2024;loc10;10010101;2.376,800
11/07/2024;loc11;10010101;348,800
11/07/2024;loc12;10010101;735,600
11/07/2024;loc13;10010101;219,600
11/07/2024;loc13;10010101;173,300
11/07/2024;loc14;10010101;171,800
11/07/2024;loc15;10010101;2,000
11/07/2024;loc15;10010101;234,100
11/07/2024;loc31;10010101;167,700
11/07/2024;loc16;10010101;1.254,000
11/07/2024;loc16;10010101;590,100
11/07/2024;loc17;10010101;640,700
11/07/2024;loc17;10010101;660,000
11/07/2024;loc17;10010101;27,000
11/07/2024;loc18;10010101;301,700
11/07/2024;loc19;10010101;548,200
11/07/2024;loc32;10010101;0,400
11/07/2024;loc32;10010101;666,400
11/07/2024;loc32;10010101;763,000
11/07/2024;loc32;10010101;720,800
11/07/2024;loc32;10010101;993,800
11/07/2024;loc32;10010101;921,000
11/07/2024;loc20;10010101;1.701,180
11/07/2024;loc20;10010101;529,800
11/07/2024;loc20;10010101;511,300
11/07/2024;loc20;10010101;216,400
11/07/2024;loc21;10010101;767,100
11/07/2024;loc22;10010101;417,200
11/07/2024;loc22;10010101;305,200
11/07/2024;loc23;10010101;331,100
11/07/2024;loc33;10010101;746,600
11/07/2024;loc24;10010101;2.249,700
